,municipality,year,visits_private,male_employed,female_employed,combined_employed,drug_offences,alcohol_sales,male_higher_education,female_higher_education,combined_higher_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,health_cost
0,Akaa,2001,2643,45.5,37.1,41.3,1.4421,6.8,16.4,18.3,17.3,23.7,64.6,13.1,22.5,58.0,20.7,23.1,61.3,17.0,16022,987.1
1,Akaa,2002,2676,45.8,38.0,41.9,0.8,7.5,16.7,19.0,17.8,23.3,64.5,13.4,22.5,58.1,20.5,22.9,61.3,17.0,16117,1055.6
2,Akaa,2003,2723,45.3,37.7,41.5,1.4,7.5,17.0,19.6,18.3,23.5,64.1,13.5,22.6,58.3,20.4,23.0,61.2,17.0,16269,1100.5
3,Akaa,2004,2755,45.2,38.2,41.7,0.5,7.7,17.5,20.3,18.9,23.7,63.8,13.7,22.4,58.3,20.4,23.0,61.0,17.1,16324,1165.0
4,Akaa,2005,3039,45.2,37.2,41.2,0.5,7.3,17.9,21.1,19.6,23.7,64.0,13.5,22.7,57.9,20.4,23.2,60.9,17.0,16422,1210.6
5,Akaa,2006,3323,46.2,38.8,42.5,1.0,7.5,18.5,21.6,20.1,23.9,63.5,13.9,23.0,57.4,20.6,23.5,60.4,17.3,16586,1257.4
6,Akaa,2007,3396,47.2,40.4,43.8,0.8,7.3,18.8,22.7,20.8,24.0,63.1,13.9,23.3,57.5,20.2,23.6,60.2,17.1,16738,1242.3
7,Akaa,2008,3997,46.1,40.9,43.5,1.6,7.3,19.3,23.5,21.4,24.2,63.1,14.0,23.4,57.7,20.2,23.8,60.3,17.2,16837,1419.0
8,Akaa,2009,3672,41.8,39.4,40.6,1.4,7.1,19.6,24.0,21.8,24.1,62.8,14.2,23.2,57.6,20.3,23.6,60.1,17.3,16858,1468.2
9,Akaa,2010,4290,43.4,39.6,41.5,0.9,6.8,20.0,24.7,22.4,24.3,62.4,14.6,23.3,57.1,20.7,23.8,59.7,17.7,17012,1490.4
10,Akaa,2011,4286,44.6,40.2,42.4,1.6,6.9,20.0,25.5,22.8,24.0,62.2,15.2,23.1,56.7,21.1,23.6,59.4,18.2,17091,1587.8
11,Akaa,2012,4144,44.0,40.1,42.1,0.9,6.2,20.4,25.8,23.1,23.8,61.5,16.0,23.1,56.5,21.6,23.4,59.0,18.8,17134,1767.0
12,Akaa,2013,8986,41.9,39.0,40.4,0.9,6.2,21.0,26.5,23.8,23.7,60.4,17.0,23.0,55.6,22.3,23.3,58.0,19.7,17108,1831.1
13,Akaa,2014,9247,41.1,38.8,39.9,1.4,6.1,20.9,27.0,24.0,23.7,59.8,17.8,22.9,55.1,23.0,23.3,57.4,20.4,17050,1864.3
14,Akaa,2015,9748,40.8,37.8,39.3,1.6,5.9,20.9,27.2,24.1,23.5,59.4,18.3,22.8,54.7,23.6,23.2,57.0,21.0,17043,1793.4
15,Akaa,2016,9253,40.8,37.8,39.3,2.0,5.8,21.0,27.8,24.4,23.3,58.9,18.9,22.4,54.4,24.2,22.9,56.6,21.5,16923,1905.6
16,Akaa,2017,8725,42.7,39.0,40.9,2.3,5.8,21.0,28.5,24.8,22.9,58.5,19.6,22.2,54.0,24.8,22.6,56.3,22.2,16769,1915.2
17,Akaa,2018,8464,43.8,39.9,41.9,3.2,5.8,21.3,28.9,25.1,22.8,58.0,20.2,21.9,53.5,25.5,22.3,55.7,22.9,16611,1938.8
18,Akaa,2019,7693,43.3,40.4,41.9,2.4,5.7,21.6,29.1,25.4,22.6,57.7,20.9,21.6,53.2,26.1,22.1,55.5,23.5,16475,1960.4
19,Akaa,2020,6805,40.7,39.5,40.1,2.2,6.3,21.6,29.3,25.5,22.0,57.5,21.8,21.4,53.1,26.6,21.7,55.3,24.2,16391,1921.2
20,Alajärvi,2001,1324,39.6,30.7,35.1,1.0417,4.8,12.7,18.4,15.6,28.0,59.2,14.7,26.9,53.2,21.7,27.5,56.2,18.2,11341,1171.6
21,Alajärvi,2002,1202,39.3,31.9,35.6,1.0417,4.8,12.8,18.6,15.7,27.3,59.6,14.8,26.2,53.3,22.2,26.8,56.5,18.5,11185,1184.2
22,Alajärvi,2003,1185,39.8,32.4,36.1,0.5,4.8,12.9,19.0,16.0,26.8,59.7,15.1,25.7,53.5,22.5,26.3,56.6,18.8,11075,1305.1
23,Alajärvi,2004,1244,38.5,32.7,35.6,1.0417,5.3,13.2,19.4,16.3,26.6,59.3,15.6,25.1,53.6,22.9,25.8,56.5,19.2,11027,1358.1
24,Alajärvi,2005,1371,39.8,32.6,36.2,1.0417,5.3,13.6,19.9,16.8,26.2,59.7,15.7,24.9,53.3,23.1,25.5,56.5,19.4,10910,1410.8
25,Alajärvi,2006,1570,41.5,33.3,37.4,0.0,5.4,13.7,20.0,16.9,26.0,59.4,16.2,24.8,53.6,23.8,25.4,56.5,20.0,10768,1487.7
