,region,year,alcohol_sales,male_length_education,female_length_education,combined_length_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,health_cost
0,Central Finland,1993,6.5,236.0,226.9,231.3,33139,82320,13731,31514,78184,23034,64653,160504,36765,258485,2753.7
1,Central Finland,1994,6.3,240.0,233.0,236.4,32988,82406,14113,31524,78412,23429,64512,160818,37542,259392,2656.4
2,Central Finland,1995,6.5,244.8,239.1,241.9,32715,82518,14473,31322,78565,23728,64037,161083,38201,259778,2833.8
3,Central Finland,1996,6.7,249.4,245.4,247.4,32563,82863,14887,31092,78943,24042,63655,161806,38929,260835,2943.6
4,Central Finland,1997,6.7,254.3,251.8,253.0,32311,83018,15197,30859,79184,24347,63170,162202,39544,261559,2690.9
5,Central Finland,1998,6.8,259.2,258.5,258.8,31968,83088,15433,30668,79575,24481,62636,162663,39914,261754,2746.2
6,Central Finland,1999,6.8,263.9,264.6,264.3,31739,83255,15655,30350,79757,24722,62089,163012,40377,262106,2813.1
7,Central Finland,2000,6.8,268.5,271.1,269.9,31508,83663,16019,30066,80164,24896,61574,163827,40915,262710,2933.7
8,Central Finland,2001,7.1,273.7,277.5,275.6,31096,84156,16252,29847,80690,25094,60943,164846,41346,263574,3149.7
9,Central Finland,2002,7.4,278.5,282.8,280.7,30706,84355,16644,29539,80892,25335,60245,165247,41979,263889,3349.3
10,Central Finland,2003,7.4,284.0,290.0,287.1,30426,84650,17098,29356,81237,25582,59782,165887,42680,264936,3519.7
11,Central Finland,2004,7.9,289.1,297.0,293.2,30283,84806,17583,29176,81450,26105,59459,166256,43688,266047,3660.7
12,Central Finland,2005,8.0,293.1,302.6,298.0,30082,84970,18014,29036,81469,26384,59118,166439,44398,266770,3767.8
13,Central Finland,2006,8.2,297.1,308.8,303.1,30104,84602,18906,29034,81294,27025,59138,165896,45931,267481,3864.6
14,Central Finland,2007,8.5,302.7,316.1,309.6,29981,84935,18991,28865,81500,27034,58846,166435,46025,267998,4021.9
15,Central Finland,2008,8.4,307.7,324.2,316.1,29865,85172,19431,28870,81861,27345,58735,167033,46776,269108,4449.2
16,Central Finland,2009,8.3,311.6,330.3,321.2,29865,85347,19848,28799,82063,27658,58664,167410,47506,270195,4567.7
17,Central Finland,2010,8.1,316.0,336.4,326.4,29789,85272,20617,28709,81888,28300,58498,167160,48917,271083,4668.6
18,Central Finland,2011,8.1,320.4,343.2,332.0,29700,84912,21496,28545,81472,29106,58245,166384,50602,271874,4920.3
19,Central Finland,2012,7.7,324.5,349.5,337.2,29577,84503,22549,28480,81052,29953,58057,165555,52502,272723,5187.7
20,Central Finland,2013,7.5,329.6,356.1,343.1,29338,83726,23715,28243,80211,30905,57581,163937,54620,272911,5357.3
21,Central Finland,2014,7.3,334.0,362.1,348.3,29211,83086,24626,28112,79498,31698,57323,162584,56324,272990,5350.3
22,Central Finland,2015,7.1,336.5,366.7,351.8,29001,82655,25516,27941,78945,32488,56942,161600,58004,273446,5406.5
23,Central Finland,2016,7.1,340.3,372.3,356.5,28865,82600,26210,27737,78471,33005,56602,161071,59215,273910,5508.9
24,Central Finland,2017,7.1,345.3,379.4,362.6,28706,81959,27026,27448,77949,33648,56154,159908,60674,273779,5486.5
25,Central Finland,2018,7.1,350.7,387.3,369.3,28443,81478,27580,27155,77342,34266,55598,158820,61846,273283,5599.3
26,Central Finland,2019,6.9,354.0,392.5,373.5,27988,81023,28296,26825,76756,34905,54813,157779,63201,272898,5895.6
27,Central Finland,2020,6.9,357.9,398.5,378.4,27732,80506,28957,26546,76246,35548,54278,156752,64505,272617,6006.9
28,Central Ostrobothnia,1993,4.7,202.0,208.2,205.2,10126,21269,3456,9762,20242,5593,19888,41511,9049,69315,2544.1
29,Central Ostrobothnia,1994,4.7,206.7,214.0,210.4,10038,21368,3535,9696,20366,5725,19734,41734,9260,69627,2585.1
30,Central Ostrobothnia,1995,4.9,210.4,220.3,215.4,9928,21342,3656,9622,20348,5801,19550,41690,9457,69539,2810.9
31,Central Ostrobothnia,1996,5.1,214.3,225.3,219.9,9752,21279,3755,9426,20229,5867,19178,41508,9622,69213,2967.4
32,Central Ostrobothnia,1997,5.2,218.8,230.8,225.0,9578,21249,3857,9337,20152,5912,18915,41401,9769,69021,2628.2
33,Central Ostrobothnia,1998,5.3,223.2,235.5,229.5,9444,21229,3924,9236,20068,5962,18680,41297,9886,68773,2660.6
34,Central Ostrobothnia,1999,5.4,226.4,240.7,233.7,9248,21109,4024,9084,19959,6021,18332,41068,10045,68345,2743.4
35,Central Ostrobothnia,2000,5.4,229.3,245.8,237.7,9101,21019,4117,8946,19913,6098,18047,40932,10215,68052,2895.7
36,Central Ostrobothnia,2001,5.7,233.1,251.3,242.4,8910,20948,4172,8751,19809,6177,17661,40757,10349,67671,3132.4
37,Central Ostrobothnia,2002,6.0,239.0,256.1,247.7,8759,20913,4266,8626,19842,6196,17385,40755,10462,67497,3317.0
38,Central Ostrobothnia,2003,6.2,243.9,262.3,253.3,8642,20855,4384,8522,19858,6237,17164,40713,10621,67441,3514.0
39,Central Ostrobothnia,2004,6.7,248.4,269.0,258.9,8569,20810,4508,8334,19829,6336,16903,40639,10844,67369,3732.0
40,Central Ostrobothnia,2005,6.8,252.5,275.7,264.3,8536,20880,4592,8316,19856,6409,16852,40736,11001,67612,3868.2
41,Central Ostrobothnia,2006,7.0,256.9,281.9,269.6,8407,20747,4791,8301,19744,6605,16708,40491,11396,67632,4014.9
42,Central Ostrobothnia,2007,7.1,261.5,287.8,274.9,8398,20833,4815,8305,19872,6651,16703,40705,11466,67898,4235.2
43,Central Ostrobothnia,2008,7.1,265.2,294.8,280.2,8378,20878,4909,8223,19902,6709,16601,40780,11618,67991,4569.3
44,Central Ostrobothnia,2009,7.0,269.6,301.0,285.6,8361,20756,5001,8210,19891,6837,16571,40647,11838,68131,4727.6
45,Central Ostrobothnia,2010,6.9,274.6,307.1,291.2,8399,20638,5213,8177,19856,6988,16576,40494,12201,68321,4967.3
46,Central Ostrobothnia,2011,7.2,278.3,313.4,296.2,8394,20514,5489,8175,19710,7174,16569,40224,12663,68484,5280.4
47,Central Ostrobothnia,2012,6.8,282.4,319.4,301.2,8356,20339,5747,8151,19506,7446,16507,39845,13193,68610,5506.8
48,Central Ostrobothnia,2013,6.8,287.7,325.6,306.9,8361,20109,6025,8150,19368,7648,16511,39477,13673,68677,5598.8
49,Central Ostrobothnia,2014,6.7,291.7,332.5,312.4,8367,19952,6278,8116,19156,7868,16483,39108,14146,68830,5617.4
50,Central Ostrobothnia,2015,6.5,293.9,338.3,316.4,8375,19839,6503,8135,19018,8037,16510,38857,14540,69032,5669.6
51,Central Ostrobothnia,2016,6.4,296.8,343.2,320.3,8391,19660,6719,8105,18805,8208,16496,38465,14927,69027,5854.8
52,Central Ostrobothnia,2017,6.4,301.5,349.3,325.7,8344,19372,6910,8049,18555,8378,16393,37927,15288,68780,5869.1
53,Central Ostrobothnia,2018,6.2,306.4,356.6,331.8,8304,19110,7081,8002,18248,8535,16306,37358,15616,68437,6029.3
54,Central Ostrobothnia,2019,6.1,310.4,362.1,336.6,8204,18853,7258,7981,18049,8658,16185,36902,15916,68158,6241.0
55,Central Ostrobothnia,2020,6.2,314.6,367.9,341.5,8164,18781,7391,7883,17840,8803,16047,36621,16194,67988,6456.1
56,Kainuu,1993,6.1,214.5,214.2,214.3,12004,29832,4817,11763,27269,7369,23767,57101,12186,91794,2935.4
57,Kainuu,1994,6.0,218.0,219.2,218.6,11869,29517,5040,11665,27063,7571,23534,56580,12611,91350,2997.4
58,Kainuu,1995,6.2,221.2,224.4,222.8,11707,29166,5280,11420,26801,7752,23127,55967,13032,90781,3156.0
59,Kainuu,1996,6.1,225.2,229.3,227.2,11490,28837,5435,11197,26430,7935,22687,55267,13370,90035,3219.6
60,Kainuu,1997,6.3,227.8,233.1,230.5,11111,28480,5526,10988,26046,8104,22099,54526,13630,88896,3044.8
61,Kainuu,1998,6.4,230.9,237.8,234.4,10817,28157,5607,10636,25748,8216,21453,53905,13823,87843,3139.2
62,Kainuu,1999,6.5,234.3,242.1,238.2,10517,27840,5745,10348,25459,8277,20865,53299,14022,86943,3189.9
63,Kainuu,2000,6.4,236.7,245.9,241.3,10208,27427,5868,10087,25032,8447,20295,52459,14315,85736,3347.5
64,Kainuu,2001,6.8,239.5,250.5,245.0,9795,27106,5994,9708,24702,8570,19503,51808,14564,84497,3571.6
65,Kainuu,2002,7.0,242.8,254.0,248.4,9472,26818,6068,9318,24390,8661,18790,51208,14729,83477,3756.2
66,Kainuu,2003,7.2,246.8,258.9,252.9,9234,26506,6222,9072,24190,8741,18306,50696,14963,82744,3983.2
67,Kainuu,2004,7.9,250.8,264.6,257.7,9014,26293,6382,8825,23930,8924,17839,50223,15306,82214,3937.2
68,Kainuu,2005,8.3,255.0,269.4,262.2,8831,26058,6451,8582,23749,9022,17413,49807,15473,81585,3880.2
69,Kainuu,2006,8.5,260.3,276.2,268.3,8651,25617,6674,8318,23358,9220,16969,48975,15894,80738,4159.0
70,Kainuu,2007,8.8,264.1,282.0,273.1,8453,25473,6705,8133,23228,9239,16586,48701,15944,80218,4363.9
71,Kainuu,2008,9.0,269.0,289.2,279.2,8296,25297,6814,8025,23102,9251,16321,48399,16065,79690,4701.4
72,Kainuu,2009,8.9,273.5,295.2,284.4,8119,25071,6881,7899,22955,9315,16018,48026,16196,79234,4952.2
73,Kainuu,2010,8.7,277.4,300.5,289.0,7995,24797,7072,7758,22666,9473,15753,47463,16545,78703,5160.3
74,Kainuu,2011,8.9,281.5,305.9,293.7,7812,24456,7293,7546,22281,9611,15358,46737,16904,77984,5666.0
75,Kainuu,2012,8.6,285.4,310.7,298.1,7633,24103,7517,7410,21902,9857,15043,46005,17374,77435,5787.9
76,Kainuu,2013,8.5,290.3,316.0,303.2,7460,23662,7816,7251,21440,10113,14711,45102,17929,76782,6549.5
77,Kainuu,2014,8.3,293.9,322.0,308.0,7299,23190,8093,7115,21061,10288,14414,44251,18381,76119,6522.9
78,Kainuu,2015,8.0,295.5,327.2,311.4,7131,22673,8353,6845,20677,10438,13976,43350,18791,75324,6828.9
79,Kainuu,2016,8.1,299.2,332.9,316.1,7123,22265,8602,6739,20283,10593,13862,42548,19195,74803,6824.3
80,Kainuu,2017,8.0,304.1,339.5,321.8,6954,21749,8874,6648,19727,10784,13602,41476,19658,73959,6963.0
81,Kainuu,2018,8.1,309.0,347.2,328.1,6811,21231,9128,6471,19239,10950,13282,40470,20078,73061,7268.9
82,Kainuu,2019,7.9,311.9,351.5,331.6,6688,20708,9459,6329,18727,11142,13017,39435,20601,72306,7574.1
83,Kainuu,2020,8.0,314.8,357.6,336.1,6558,20416,9684,6177,18296,11260,12735,38712,20944,71664,7872.9
84,Kanta-Häme,1993,6.5,235.2,213.8,224.0,19652,51740,9513,18820,50149,16898,38472,101889,26411,164767,2608.2
85,Kanta-Häme,1994,6.3,239.5,219.4,229.0,19642,51635,9744,18913,49993,17117,38555,101628,26861,164957,2694.6
86,Kanta-Häme,1995,6.5,243.7,224.8,233.8,19554,51434,9940,18898,49770,17372,38452,101204,27312,164937,2818.7
87,Kanta-Häme,1996,6.6,247.2,230.3,238.4,19501,51288,10177,18793,49691,17462,38294,100979,27639,164892,2942.2
88,Kanta-Häme,1997,6.7,250.9,235.7,243.0,19460,51271,10316,18743,49666,17547,38203,100937,27863,165026,2605.1
