,region,year,"male_Employed, as % of total population","male_Students, as % of total population","female_Employed, as % of total population","female_Students, as % of total population","combined_Employed, as % of total population","combined_Students, as % of total population",male_length_education,female_length_education,combined_length_education,male_0_18,male_18_64,male_65,female_0_18,female_18_64,female_65,combined_0_18,combined_18_64,combined_65,pop_total,cost
0,Central Finland,1993,35.8,8.1,32.7,9.2,34.2,8.6,236.0,226.9,231.3,33139,82320,13731,31514,78184,23034,64653,160504,36765,258485,775.2
1,Central Finland,1994,36.9,8.5,32.8,9.6,34.8,9.1,240.0,233.0,236.4,32988,82406,14113,31524,78412,23429,64512,160818,37542,259392,743.7
2,Central Finland,1995,37.2,9.0,32.7,10.2,34.9,9.6,244.8,239.1,241.9,32715,82518,14473,31322,78565,23728,64037,161083,38201,259778,770.7
3,Central Finland,1996,37.5,8.7,33.2,9.6,35.3,9.2,249.4,245.4,247.4,32563,82863,14887,31092,78943,24042,63655,161806,38929,260835,807.7
4,Central Finland,1997,39.0,8.7,33.8,9.9,36.4,9.3,254.3,251.8,253.0,32311,83018,15197,30859,79184,24347,63170,162202,39544,261559,860.5
5,Central Finland,1998,40.4,8.2,35.4,9.0,37.9,8.6,259.2,258.5,258.8,31968,83088,15433,30668,79575,24481,62636,162663,39914,261754,883.9
6,Central Finland,1999,41.4,8.0,36.0,8.7,38.7,8.4,263.9,264.6,264.3,31739,83255,15655,30350,79757,24722,62089,163012,40377,262106,912.2
7,Central Finland,2000,42.6,8.0,36.9,8.7,39.7,8.3,268.5,271.1,269.9,31508,83663,16019,30066,80164,24896,61574,163827,40915,262710,955.8
8,Central Finland,2001,42.3,8.1,37.0,9.0,39.6,8.6,273.7,277.5,275.6,31096,84156,16252,29847,80690,25094,60943,164846,41346,263574,1023.9
9,Central Finland,2002,42.3,8.1,37.5,8.8,39.9,8.4,278.5,282.8,280.7,30706,84355,16644,29539,80892,25335,60245,165247,41979,263889,1091.4
10,Central Finland,2003,42.4,8.4,37.6,9.0,39.9,8.7,284.0,290.0,287.1,30426,84650,17098,29356,81237,25582,59782,165887,42680,264936,1181.1
11,Central Finland,2004,42.6,8.4,37.8,9.0,40.2,8.7,289.1,297.0,293.2,30283,84806,17583,29176,81450,26105,59459,166256,43688,266047,1242.8
12,Central Finland,2005,42.4,8.9,37.4,9.3,39.9,9.1,293.1,302.6,298.0,30082,84970,18014,29036,81469,26384,59118,166439,44398,266770,1287.0
13,Central Finland,2006,43.3,8.7,38.2,9.2,40.7,8.9,297.1,308.8,303.1,30104,84602,18906,29034,81294,27025,59138,165896,45931,267481,1330.1
14,Central Finland,2007,43.8,8.5,39.1,9.0,41.4,8.7,302.7,316.1,309.6,29981,84935,18991,28865,81500,27034,58846,166435,46025,267998,1400.8
15,Central Finland,2008,43.3,8.3,39.7,8.7,41.5,8.5,307.7,324.2,316.1,29865,85172,19431,28870,81861,27345,58735,167033,46776,269108,1489.4
16,Central Finland,2009,40.8,8.7,38.8,8.9,39.8,8.8,311.6,330.3,321.2,29865,85347,19848,28799,82063,27658,58664,167410,47506,270195,1544.5
17,Central Finland,2010,41.7,8.5,39.5,8.7,40.6,8.6,316.0,336.4,326.4,29789,85272,20617,28709,81888,28300,58498,167160,48917,271083,1568.6
18,Central Finland,2011,41.8,8.5,39.7,8.4,40.7,8.4,320.4,343.2,332.0,29700,84912,21496,28545,81472,29106,58245,166384,50602,271874,1655.4
19,Central Finland,2012,40.7,8.4,39.3,8.4,40.0,8.4,324.5,349.5,337.2,29577,84503,22549,28480,81052,29953,58057,165555,52502,272723,1749.0
20,Central Finland,2013,39.1,8.4,38.4,8.4,38.7,8.4,329.6,356.1,343.1,29338,83726,23715,28243,80211,30905,57581,163937,54620,272911,1829.4
21,Central Finland,2014,38.8,8.4,37.9,8.4,38.3,8.4,334.0,362.1,348.3,29211,83086,24626,28112,79498,31698,57323,162584,56324,272990,1828.7
22,Central Finland,2015,38.5,8.5,37.5,8.4,38.0,8.5,336.5,366.7,351.8,29001,82655,25516,27941,78945,32488,56942,161600,58004,273446,1842.5
23,Central Finland,2016,39.2,8.5,37.8,8.2,38.5,8.4,340.3,372.3,356.5,28865,82600,26210,27737,78471,33005,56602,161071,59215,273910,1826.7
24,Central Finland,2017,40.4,8.2,38.5,8.1,39.4,8.1,345.3,379.4,362.6,28706,81959,27026,27448,77949,33648,56154,159908,60674,273779,1871.9
25,Central Finland,2018,40.8,8.2,39.2,8.1,40.0,8.1,350.7,387.3,369.3,28443,81478,27580,27155,77342,34266,55598,158820,61846,273283,1880.0
26,Central Finland,2019,40.5,8.3,39.2,8.3,39.8,8.3,354.0,392.5,373.5,27988,81023,28296,26825,76756,34905,54813,157779,63201,272898,1903.1
27,Central Finland,2020,39.0,8.7,38.0,8.7,38.5,8.7,357.9,398.5,378.4,27732,80506,28957,26546,76246,35548,54278,156752,64505,272617,1991.5
