"Employed, as % of total population";"2328";"Central Finland";"13";"male";1990;46.3;58047
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1991;42.5;53724
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1992;38.8;49323
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1993;35.8;45620
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1994;36.9;47106
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1995;37.2;47582
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1996;37.5;48221
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1997;39.0;50264
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1998;40.4;52074
"Employed, as % of total population";"2328";"Central Finland";"13";"male";1999;41.4;53390
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2000;42.6;55113
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2001;42.3;54815
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2002;42.3;54952
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2003;42.4;55245
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2004;42.6;55784
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2005;42.4;55681
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2006;43.3;57024
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2007;43.8;57913
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2008;43.3;57477
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2009;40.8;54431
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2010;41.7;55820
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2011;41.8;56103
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2012;40.7;54907
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2013;39.1;52807
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2014;38.8;52440
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2015;38.5;52269
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2016;39.2;53433
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2017;40.4;55011
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2018;40.8;55484
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2019;40.5;54944
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2020;39.0;53008
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2021;40.6;55126
"Employed, as % of total population";"2328";"Central Finland";"13";"male";2022;41.3;56128
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1990;40.3;52004
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1991;38.5;50174
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1992;35.6;46583
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1993;32.7;42812
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1994;32.8;43125
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1995;32.7;43131
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1996;33.2;43897
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1997;33.8;44867
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1998;35.4;47113
"Employed, as % of total population";"2328";"Central Finland";"13";"female";1999;36.0;47977
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2000;36.9;49258
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2001;37.0;49494
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2002;37.5;50229
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2003;37.6;50571
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2004;37.8;51115
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2005;37.4;50662
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2006;38.2;51663
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2007;39.1;53077
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2008;39.7;54080
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2009;38.8;53144
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2010;39.5;54135
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2011;39.7;54545
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2012;39.3;54172
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2013;38.4;52929
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2014;37.9;52186
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2015;37.5;51685
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2016;37.8;52048
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2017;38.5;52939
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2018;39.2;53782
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2019;39.2;53747
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2020;38.0;52037
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2021;39.1;53498
"Employed, as % of total population";"2328";"Central Finland";"13";"female";2022;40.0;54664
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1990;43.2;110051
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1991;40.5;103898
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1992;37.2;95906
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1993;34.2;88432
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1994;34.8;90231
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1995;34.9;90713
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1996;35.3;92118
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1997;36.4;95131
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1998;37.9;99187
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";1999;38.7;101367
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2000;39.7;104371
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2001;39.6;104309
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2002;39.9;105181
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2003;39.9;105816
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2004;40.2;106899
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2005;39.9;106343
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2006;40.7;108687
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2007;41.4;110990
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2008;41.5;111557
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2009;39.8;107575
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2010;40.6;109955
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2011;40.7;110648
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2012;40.0;109079
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2013;38.7;105736
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2014;38.3;104626
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2015;38.0;103954
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2016;38.5;105481
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2017;39.4;107950
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2018;40.0;109266
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2019;39.8;108691
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2020;38.5;105045
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2021;39.8;108624
"Employed, as % of total population";"2328";"Central Finland";"13";"combined";2022;40.7;110792
"Students, as % of total population";"2310";"Central Finland";"13";"male";1990;6.3;7927
"Students, as % of total population";"2310";"Central Finland";"13";"male";1991;6.9;8707
"Students, as % of total population";"2310";"Central Finland";"13";"male";1992;7.2;9122
"Students, as % of total population";"2310";"Central Finland";"13";"male";1993;8.1;10240
"Students, as % of total population";"2310";"Central Finland";"13";"male";1994;8.5;10842
"Students, as % of total population";"2310";"Central Finland";"13";"male";1995;9.0;11475
"Students, as % of total population";"2310";"Central Finland";"13";"male";1996;8.7;11165
"Students, as % of total population";"2310";"Central Finland";"13";"male";1997;8.7;11251
"Students, as % of total population";"2310";"Central Finland";"13";"male";1998;8.2;10520
"Students, as % of total population";"2310";"Central Finland";"13";"male";1999;8.0;10358
"Students, as % of total population";"2310";"Central Finland";"13";"male";2000;8.0;10267
"Students, as % of total population";"2310";"Central Finland";"13";"male";2001;8.1;10497
"Students, as % of total population";"2310";"Central Finland";"13";"male";2002;8.1;10501
"Students, as % of total population";"2310";"Central Finland";"13";"male";2003;8.4;10873
"Students, as % of total population";"2310";"Central Finland";"13";"male";2004;8.4;10925
"Students, as % of total population";"2310";"Central Finland";"13";"male";2005;8.9;11620
"Students, as % of total population";"2310";"Central Finland";"13";"male";2006;8.7;11411
"Students, as % of total population";"2310";"Central Finland";"13";"male";2007;8.5;11226
"Students, as % of total population";"2310";"Central Finland";"13";"male";2008;8.3;11046
"Students, as % of total population";"2310";"Central Finland";"13";"male";2009;8.7;11545
"Students, as % of total population";"2310";"Central Finland";"13";"male";2010;8.5;11392
"Students, as % of total population";"2310";"Central Finland";"13";"male";2011;8.5;11357
"Students, as % of total population";"2310";"Central Finland";"13";"male";2012;8.4;11375
"Students, as % of total population";"2310";"Central Finland";"13";"male";2013;8.4;11359
"Students, as % of total population";"2310";"Central Finland";"13";"male";2014;8.4;11358
"Students, as % of total population";"2310";"Central Finland";"13";"male";2015;8.5;11577
"Students, as % of total population";"2310";"Central Finland";"13";"male";2016;8.5;11604
"Students, as % of total population";"2310";"Central Finland";"13";"male";2017;8.2;11167
"Students, as % of total population";"2310";"Central Finland";"13";"male";2018;8.2;11143
"Students, as % of total population";"2310";"Central Finland";"13";"male";2019;8.3;11334
"Students, as % of total population";"2310";"Central Finland";"13";"male";2020;8.7;11829
"Students, as % of total population";"2310";"Central Finland";"13";"male";2021;8.8;11922
"Students, as % of total population";"2310";"Central Finland";"13";"male";2022;8.5;11501
"Students, as % of total population";"2310";"Central Finland";"13";"female";1990;7.5;9642
"Students, as % of total population";"2310";"Central Finland";"13";"female";1991;8.1;10497
"Students, as % of total population";"2310";"Central Finland";"13";"female";1992;8.2;10661
"Students, as % of total population";"2310";"Central Finland";"13";"female";1993;9.2;11997
"Students, as % of total population";"2310";"Central Finland";"13";"female";1994;9.6;12673
"Students, as % of total population";"2310";"Central Finland";"13";"female";1995;10.2;13473
"Students, as % of total population";"2310";"Central Finland";"13";"female";1996;9.6;12729
"Students, as % of total population";"2310";"Central Finland";"13";"female";1997;9.9;13168
"Students, as % of total population";"2310";"Central Finland";"13";"female";1998;9.0;11945
"Students, as % of total population";"2310";"Central Finland";"13";"female";1999;8.7;11571
"Students, as % of total population";"2310";"Central Finland";"13";"female";2000;8.7;11549
"Students, as % of total population";"2310";"Central Finland";"13";"female";2001;9.0;12021
"Students, as % of total population";"2310";"Central Finland";"13";"female";2002;8.8;11759
"Students, as % of total population";"2310";"Central Finland";"13";"female";2003;9.0;12058
"Students, as % of total population";"2310";"Central Finland";"13";"female";2004;9.0;12120
"Students, as % of total population";"2310";"Central Finland";"13";"female";2005;9.3;12621
"Students, as % of total population";"2310";"Central Finland";"13";"female";2006;9.2;12475
"Students, as % of total population";"2310";"Central Finland";"13";"female";2007;9.0;12193
"Students, as % of total population";"2310";"Central Finland";"13";"female";2008;8.7;11819
"Students, as % of total population";"2310";"Central Finland";"13";"female";2009;8.9;12202
"Students, as % of total population";"2310";"Central Finland";"13";"female";2010;8.7;11953
"Students, as % of total population";"2310";"Central Finland";"13";"female";2011;8.4;11481
"Students, as % of total population";"2310";"Central Finland";"13";"female";2012;8.4;11508
"Students, as % of total population";"2310";"Central Finland";"13";"female";2013;8.4;11589
"Students, as % of total population";"2310";"Central Finland";"13";"female";2014;8.4;11560
"Students, as % of total population";"2310";"Central Finland";"13";"female";2015;8.4;11555
"Students, as % of total population";"2310";"Central Finland";"13";"female";2016;8.2;11344
"Students, as % of total population";"2310";"Central Finland";"13";"female";2017;8.1;11119
"Students, as % of total population";"2310";"Central Finland";"13";"female";2018;8.1;11089
"Students, as % of total population";"2310";"Central Finland";"13";"female";2019;8.3;11359
"Students, as % of total population";"2310";"Central Finland";"13";"female";2020;8.7;11908
"Students, as % of total population";"2310";"Central Finland";"13";"female";2021;8.8;12051
"Students, as % of total population";"2310";"Central Finland";"13";"female";2022;8.6;11817
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1990;6.9;17569
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1991;7.5;19204
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1992;7.7;19783
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1993;8.6;22237
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1994;9.1;23515
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1995;9.6;24948
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1996;9.2;23894
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1997;9.3;24419
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1998;8.6;22465
"Students, as % of total population";"2310";"Central Finland";"13";"combined";1999;8.4;21929
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2000;8.3;21816
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2001;8.6;22518
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2002;8.4;22260
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2003;8.7;22931
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2004;8.7;23045
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2005;9.1;24241
"Students, as % of total population";"2310";"Central Finland";"13";"combined";2006;8.9;23886
