"Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2732;2732;39.6
"Humppila";545;545;36
"Hyrynsalmi";796;795;40.5
"Hyvinkää";9268;9248;46.4
"Hämeenkyrö";2238;2236;37.5
"Hämeenlinna";16046;16001;56.2
"Heinola";5807;5787;47.6
"Ii";1813;1807;8.2
"Iisalmi";4960;4948;47.1
"Iitti";1853;1850;48.3
"Ikaalinen";2014;2010;42.3
"Ilmajoki";2341;2339;39.4
"Ilomantsi";1805;1804;48
"Inari";1532;1524;48.2
"Inkoo";1199;1193;33
"Isojoki";639;639;35.5
"Isokyrö";1179;1176;36.2
"Imatra";7481;7464;51.7
"Janakkala";3562;3559;51.4
"Joensuu";14969;14943;44
"Jokioinen";1167;1166;38.5
"Jomala";651;645;29.9
"Joroinen";1316;1314;49.8
"Joutsa";1566;1562;44.2
"Juuka";1570;1570;47.6
"Juupajoki";487;486;30.7
"Juva";1992;1990;55.9
"Jyväskylä";23307;23269;47.5
"Jämijärvi";491;491;46
"Jämsä";5941;5930;38.3
"Järvenpää";6859;6847;37.9
"Kaarina";6380;6361;49.6
"Kaavi";971;971;49.2
"Kajaani";7475;7463;46.7
"Kalajoki";2784;2780;28.5
"Kangasala";5742;5727;46.9
"Kangasniemi";1850;1849;50.8
"Kankaanpää";3085;3081;42.9
"Kannonkoski";445;443;38.6
"Kannus";1148;1145;42.6
"Karijoki";419;416;31
"Karkkila";2053;2051;31.6
"Karstula";1226;1223;43.6
"Karvia";746;746;35.9
"Kaskinen";428;427;36.1
"Kauhajoki";3219;3209;34.4
"Kauhava";4248;4241;33.2
"Kauniainen";2097;2078;51.7
"Kaustinen";875;875;30.9
"Keitele";704;703;58.2
"Kemi";5074;5061;38.7
"Keminmaa";1716;1712;45.3
"Kempele";2498;2497;43.8
"Kerava";6169;6159;53
"Keuruu";2992;2990;44.7
"Kihniö";547;547;34.9
"Kinnula";475;473;32.1
"Kirkkonummi";5442;5421;40.6
"Kitee";3230;3226;45.1
"Kittilä";1207;1202;48.5
"Kiuruvesi";2257;2254;46.9
"Kivijärvi";377;376;33
"Kokemäki";2023;2021;38.5
"Kokkola";9493;9477;36
"Kolari";941;932;43
"Konnevesi";837;836;33.3
"Kontiolahti";2049;2047;45.1
"Korsnäs";569;566;27
"Koski Tl";733;732;42.5
"Kotka";13215;13184;43.1
"Kouvola";20880;20838;47.3
"Kristiinankaupunki";2112;2098;31.3
"Kruunupyy";1538;1533;22.4
"Kuhmo";2656;2656;41.3
"Kuhmoinen";949;946;42.2
"Kumlinge";97;97;34
"Kuopio";22598;22551;53.4
"Kuortane";1060;1058;43.5
"Kurikka";5573;5566;34.1
"Kustavi";335;334;41.9
"Kuusamo";3585;3579;43.4
"Outokumpu";1918;1912;47.9
"Kyyjärvi";415;414;35.5
"Kärkölä";1031;1030;45.7
"Kärsämäki";639;639;36.8
"Kökar";79;78;26.9
"Kemijärvi";2595;2589;42.5
"Kemiönsaari";2089;2076;29.4
"Lahti";26493;26409;47.6
"Laihia";1637;1636;31.7
"Laitila";1923;1920;39.4
"Lapinlahti";2400;2396;45.1
"Lappajärvi";984;981;46.4
"Lappeenranta";15831;15794;45
"Lapinjärvi";716;712;34.8
"Lapua";3187;3184;37.6
"Laukaa";3308;3306;41.5
"Lemi";695;693;48.6
"Lemland";319;312;33
"Lempäälä";3479;3472;33.8
"Leppävirta";2605;2600;45.3
"Lestijärvi";211;211;54
"Lieksa";3691;3684;48.3
"Lieto";3490;3485;47.8
"Liminka";913;912;44.6
"Liperi";2302;2302;45
"Loimaa";4475;4471;36
"Loppi";1736;1731;38
"Loviisa";3894;3886;38.9
"Luhanka";300;300;48
"Lumijoki";324;324;40.4
"Lumparland";100;97;42.3
"Luoto";690;687;22.4
"Luumäki";1422;1422;40.4
"Lohja";9875;9852;38.1
"Parainen";3752;3728;37.4
"Maalahti";1451;1441;21.6
"Maarianhamina";2596;2569;32.6
"Marttila";504;503;46.9
"Masku";1478;1476;44.3
"Merijärvi";254;254;31.5
"Merikarvia";999;994;34
"Miehikkälä";659;659;46.3
"Mikkeli";12765;12749;54.6
"Muhos";1399;1396;40.3
"Multia";515;513;44.6
"Muonio";550;548;42.3
"Mustasaari";3815;3805;26.8
"Muurame";1561;1556;44.9
"Mynämäki";1800;1800;44.8
"Myrskylä";494;493;32.5
"Mäntsälä";3431;3427;32.1
"Mäntyharju";1929;1923;54.3
"Mänttä-Vilppula";3193;3186;32.3
"Naantali";4351;4341;42.3
"Nakkila";1395;1395;43.9
"Nivala";2128;2126;42.7
"Nokia";6189;6172;39.3
"Nousiainen";765;764;45.5
"Nurmes";3019;3015;50.3
"Nurmijärvi";6218;6209;50.7
"Närpiö";2583;2567;31.9
"Orimattila";3581;3579;45.9
"Oripää";330;329;36.5
"Orivesi";2536;2534;40.3
"Oulainen";1761;1756;43.3
"Oulu";28599;28538;42.3
"Padasjoki";1068;1064;41.6
"Paimio";2118;2112;49.9
"Paltamo";982;980;53.5
"Parikkala";1791;1787;52.5
"Parkano";1894;1892;43.1
"Pelkosenniemi";279;279;44.1
"Perho";588;588;36.2
"Pertunmaa";599;597;49.6
"Petäjävesi";855;855;40.6
"Pieksämäki";5146;5133;46.7
"Pielavesi";1498;1496;40.1
"Pietarsaari";4708;4699;33.6
"Pedersören kunta";1829;1827;27.8
"Pihtipudas";1139;1134;38.6
"Pirkkala";3068;3066;51.9
"Polvijärvi";1194;1192;42.6
"Pomarkku";618;617;30.5
"Pori";20212;20175;35.1
"Pornainen";681;680;32.8
"Posio";1102;1097;37.6
"Pudasjärvi";2232;2221;7.6
"Pukkila";413;411;46
"Punkalaidun";905;904;43.1
"Puolanka";902;899;38.5
"Puumala";830;821;54.6
"Pyhtää";1216;1214;49.4
"Pyhäjoki";816;816;48.9
"Pyhäjärvi";1649;1646;39.7
"Pyhäntä";297;297;34.3
"Pyhäranta";509;506;34.8
"Pälkäne";1727;1725;43.2
"Pöytyä";1908;1903;44.6
"Porvoo";9508;9473;43.4
"Raahe";5201;5186;49
"Raisio";4971;4958;44.3
"Rantasalmi";1110;1109;48.7
"Ranua";956;953;42.1
"Rauma";9138;9120;34.4
"Rautalampi";1015;1013;43.7
"Rautavaara";588;586;46.6
"Rautjärvi";1131;1128;49
"Reisjärvi";676;676;43.2
"Riihimäki";5745;5734;41.7
"Ristijärvi";469;469;43.1
"Rovaniemi";10681;10655;48.6
"Ruokolahti";1582;1580;46.5
"Ruovesi";1502;1500;46.2
"Rusko";1007;1006;48
"Rääkkylä";762;760;32.6
"Raasepori";6966;6933;19
"Saarijärvi";2730;2725;42
"Salla";1240;1233;56.6
"Salo";12843;12814;49.2
"Saltvik";388;387;16.8
"Sauvo";665;661;54.9
"Savitaipale";1268;1265;44.7
"Savonlinna";9599;9580;50.3
"Savukoski";311;311;22.5
"Seinäjoki";11168;11154;36.1
"Sievi";836;833;34.1
"Siikainen";466;464;34.1
"Siikajoki";1000;1000;45.7
"Siilinjärvi";3803;3799;53
"Simo";850;848;37
"Sipoo";3409;3401;26.7
"Siuntio";973;971;31.8
"Sodankylä";2064;2059;39.8
"Soini";587;583;36.4
"Somero";2637;2630;46
"Sonkajärvi";1193;1192;38.6
"Sotkamo";2428;2428;47.1
"Sottunga";34;34;29.4
"Sulkava";948;948;51.2
"Sund";230;222;21.6
"Suomussalmi";2524;2520;42.3
"Suonenjoki";2088;2084;50.7
"Sysmä";1476;1471;49.7
"Säkylä";1881;1877;38.3
"Vaala";943;943;6.6
"Sastamala";6450;6438;37.1
"Siikalatva";1496;1494;40.5
"Taipalsaari";978;977;56.6
"Taivalkoski";1028;1027;40.7
"Taivassalo";503;502;40.6
"Tammela";1485;1481;36
"Tampere";41530;41457;44.7
"Tervo";512;512;46.9
"Tervola";861;854;45.3
"Teuva";1597;1595;33.2
"Tohmajärvi";1273;1271;30.8
"Toholampi";796;796;39.2
"Toivakka";577;577;39.7
"Tornio";4372;4341;39
"Turku";37074;36943;34.5
"Pello";1224;1217;42.7
"Tuusniemi";820;817;43.7
"Tuusula";5974;5961;50.8
"Tyrnävä";782;782;37.1
"Ulvila";3053;3048;37
"Urjala";1423;1422;36.2
"Utajärvi";723;723;7.9
"Utsjoki";295;294;45.6
"Uurainen";636;633;38.9
"Uusikaarlepyy";1742;1732;34.4
"Uusikaupunki";4003;3991;48.5
"Vaasa";12416;12379;36.5
"Valkeakoski";5184;5174;38.9
"Varkaus";5667;5661;47.6
"Vehmaa";614;612;42.8
"Vesanto";799;798;46.9
"Vesilahti";727;723;42.9
"Veteli";828;826;34.3
"Vieremä";871;869;39.5
"Vihti";4790;4782;41.2
"Viitasaari";2024;2017;36.7
"Vimpeli";756;756;43.1
"Virolahti";922;922;48.4
"Virrat";2266;2264;42.7
"Vårdö";122;121;32.2
"Vöyri";1573;1562;25.8
"Ylitornio";1400;1394;43.9
"Ylivieska";2645;2641;42.7
"Ylöjärvi";5196;5191;46.3
"Ypäjä";594;592;41.7
"Ähtäri";1689;1686;42.7
"Äänekoski";4593;4589;38.7
"Evijärvi";642;641;46.8
"Brändö";126;124;38.7
"Vantaa";30681;30603;49.4
"Hanko";2433;2426;38
"Askola";851;846;47
"Eurajoki";2105;2103;33.4
"Hammarland";310;304;34.9
"Geta";113;112;17.9
"Hartola";967;965;45.9
"Helsinki";101190;100689;42.8
"Hirvensalmi";712;712;47.2
"Enonkoski";506;506;47
"Enontekiö";421;420;34.8
"Akaa";3483;3477;36.4
"Eura";3043;3038;40.4
"Hailuoto";338;338;44.1
"Eckerö";212;208;19.7
"Heinävesi";1182;1177;50.2
"Harjavalta";2015;2014;37.7
"Aura";671;670;41.9
"Hausjärvi";1511;1507;38.7
"Haapavesi";1410;1408;37.8
"Hollola";5057;5048;50.3
"Alajärvi";2404;2400;36.6
"Alavieska";568;568;37.7
"Finström";497;487;16.8
"Haapajärvi";1499;1492;44.4
"Hankasalmi";1445;1442;41.9
"Hattula";1875;1873;48.9
"Espoo";36870;36711;53.9
"Alavus";2924;2921;39.7
"Halsua";355;354;42.4
"Forssa";4788;4778;40.1
"Föglö";158;154;35.7
"Hamina";5499;5481;49.8
"Asikkala";2385;2379;49.4
