 "Alue";"Väestö";"Nimittäjä";"Kattavuusprosentti"
"Huittinen";2896;2895;50.5
"Humppila";634;633;45.2
"Hyrynsalmi";879;879;61.3
"Hyvinkää";10599;10582;55.5
"Hämeenkyrö";2501;2500;40.8
"Hämeenlinna";17715;17687;60
"Heinola";6466;6454;53.6
"Ii";2061;2054;55.6
"Iisalmi";5638;5633;59.5
"Iitti";2067;2065;56.6
"Ikaalinen";2209;2207;50.8
"Ilmajoki";2666;2662;47.1
"Ilomantsi";1925;1923;55.6
"Inari";1792;1787;55.1
"Inkoo";1355;1347;57.3
"Isojoki";647;646;42
"Isokyrö";1243;1242;48.8
"Imatra";7942;7933;59.7
"Janakkala";3961;3957;62.4
"Joensuu";17190;17176;63.4
"Jokioinen";1358;1358;54.9
"Jomala";812;810;41.2
"Joroinen";1435;1434;61.7
"Joutsa";1663;1659;55.9
"Juuka";1645;1645;58.4
"Juupajoki";549;549;32.1
"Juva";2136;2133;64.1
"Jyväskylä";26471;26444;51.7
"Jämijärvi";509;509;54.2
"Jämsä";6367;6363;48.3
"Järvenpää";8441;8434;53.5
"Kaarina";7330;7325;53.9
"Kaavi";969;969;60.7
"Kajaani";8588;8581;60.5
"Kalajoki";3211;3206;52.3
"Kangasala";6661;6653;57.5
"Kangasniemi";1927;1927;57.9
"Kankaanpää";3591;3587;50.3
"Kannonkoski";465;465;50.1
"Kannus";1307;1303;54.8
"Karijoki";437;434;45.2
"Karkkila";2317;2313;56
"Karstula";1336;1334;58.9
"Karvia";779;779;42
"Kaskinen";511;511;12.1
"Kauhajoki";3581;3575;46.5
"Kauhava";4506;4504;47.1
"Kauniainen";2255;2241;58.2
"Kaustinen";1001;1001;50.9
"Keitele";806;805;74.4
"Kemi";5694;5684;54.9
"Keminmaa";2012;2011;60.5
"Kempele";2963;2962;61.9
"Kerava";7331;7328;63.8
"Keuruu";3224;3224;49.8
"Kihniö";615;615;34.1
"Kinnula";521;520;47.5
"Kirkkonummi";6643;6630;60.3
"Kitee";3627;3622;59.7
"Kittilä";1349;1348;61.7
"Kiuruvesi";2411;2407;56
"Kivijärvi";403;403;49.1
"Kokemäki";2112;2111;53
"Kokkola";10687;10680;51.6
"Kolari";1046;1041;60.6
"Konnevesi";882;882;54
"Kontiolahti";2577;2575;57
"Korsnäs";596;595;40.3
"Koski Tl";748;748;53.2
"Kotka";14229;14210;55.8
"Kouvola";22783;22757;56.2
"Kristiinankaupunki";2275;2269;43.4
"Kruunupyy";1639;1635;40.2
"Kuhmo";2959;2957;53.2
"Kuhmoinen";938;937;53.1
"Kumlinge";115;115;48.7
"Kuopio";25905;25871;66.2
"Kuortane";1150;1149;59.6
"Kurikka";6136;6132;47.1
