,region,year,sex,length of education per person
0,Central Finland,1990,combined,215.1
1,Central Finland,1990,female,208.0
2,Central Finland,1990,male,222.6
3,Central Finland,1991,combined,220.4
4,Central Finland,1991,female,214.2
5,Central Finland,1991,male,227.0
6,Central Finland,1992,combined,225.7
7,Central Finland,1992,female,220.4
8,Central Finland,1992,male,231.3
9,Central Finland,1993,combined,231.3
10,Central Finland,1993,female,226.9
11,Central Finland,1993,male,236.0
12,Central Finland,1994,combined,236.4
13,Central Finland,1994,female,233.0
14,Central Finland,1994,male,240.0
15,Central Finland,1995,combined,241.9
16,Central Finland,1995,female,239.1
17,Central Finland,1995,male,244.8
18,Central Finland,1996,combined,247.4
19,Central Finland,1996,female,245.4
20,Central Finland,1996,male,249.4
21,Central Finland,1997,combined,253.0
22,Central Finland,1997,female,251.8
23,Central Finland,1997,male,254.3
24,Central Finland,1998,combined,258.8
25,Central Finland,1998,female,258.5
26,Central Finland,1998,male,259.2
27,Central Finland,1999,combined,264.3
28,Central Finland,1999,female,264.6
29,Central Finland,1999,male,263.9
30,Central Finland,2000,combined,269.9
31,Central Finland,2000,female,271.1
32,Central Finland,2000,male,268.5
33,Central Finland,2001,combined,275.6
34,Central Finland,2001,female,277.5
35,Central Finland,2001,male,273.7
36,Central Finland,2002,combined,280.7
37,Central Finland,2002,female,282.8
38,Central Finland,2002,male,278.5
39,Central Finland,2003,combined,287.1
40,Central Finland,2003,female,290.0
41,Central Finland,2003,male,284.0
42,Central Finland,2004,combined,293.2
43,Central Finland,2004,female,297.0
44,Central Finland,2004,male,289.1
45,Central Finland,2005,combined,298.0
46,Central Finland,2005,female,302.6
47,Central Finland,2005,male,293.1
48,Central Finland,2006,combined,303.1
49,Central Finland,2006,female,308.8
50,Central Finland,2006,male,297.1
51,Central Finland,2007,combined,309.6
52,Central Finland,2007,female,316.1
53,Central Finland,2007,male,302.7
54,Central Finland,2008,combined,316.1
55,Central Finland,2008,female,324.2
56,Central Finland,2008,male,307.7
57,Central Finland,2009,combined,321.2
58,Central Finland,2009,female,330.3
59,Central Finland,2009,male,311.6
60,Central Finland,2010,combined,326.4
61,Central Finland,2010,female,336.4
62,Central Finland,2010,male,316.0
63,Central Finland,2011,combined,332.0
64,Central Finland,2011,female,343.2
65,Central Finland,2011,male,320.4
66,Central Finland,2012,combined,337.2
67,Central Finland,2012,female,349.5
68,Central Finland,2012,male,324.5
69,Central Finland,2013,combined,343.1
70,Central Finland,2013,female,356.1
71,Central Finland,2013,male,329.6
72,Central Finland,2014,combined,348.3
73,Central Finland,2014,female,362.1
74,Central Finland,2014,male,334.0
75,Central Finland,2015,combined,351.8
76,Central Finland,2015,female,366.7
77,Central Finland,2015,male,336.5
78,Central Finland,2016,combined,356.5
79,Central Finland,2016,female,372.3
80,Central Finland,2016,male,340.3
81,Central Finland,2017,combined,362.6
82,Central Finland,2017,female,379.4
83,Central Finland,2017,male,345.3
84,Central Finland,2018,combined,369.3
85,Central Finland,2018,female,387.3
86,Central Finland,2018,male,350.7
87,Central Finland,2019,combined,373.5
88,Central Finland,2019,female,392.5
89,Central Finland,2019,male,354.0
90,Central Finland,2020,combined,378.4
91,Central Finland,2020,female,398.5
92,Central Finland,2020,male,357.9
93,Central Finland,2021,combined,383.0
94,Central Finland,2021,female,404.3
95,Central Finland,2021,male,361.2
96,Central Finland,2022,combined,387.2
97,Central Finland,2022,female,409.6
98,Central Finland,2022,male,364.4
99,Central Ostrobothnia,1990,combined,188.4
100,Central Ostrobothnia,1990,female,189.1
101,Central Ostrobothnia,1990,male,187.6
102,Central Ostrobothnia,1991,combined,193.6
103,Central Ostrobothnia,1991,female,194.7
104,Central Ostrobothnia,1991,male,192.5
105,Central Ostrobothnia,1992,combined,199.3
106,Central Ostrobothnia,1992,female,201.2
107,Central Ostrobothnia,1992,male,197.4
108,Central Ostrobothnia,1993,combined,205.2
109,Central Ostrobothnia,1993,female,208.2
110,Central Ostrobothnia,1993,male,202.0
111,Central Ostrobothnia,1994,combined,210.4
112,Central Ostrobothnia,1994,female,214.0
113,Central Ostrobothnia,1994,male,206.7
114,Central Ostrobothnia,1995,combined,215.4
115,Central Ostrobothnia,1995,female,220.3
116,Central Ostrobothnia,1995,male,210.4
117,Central Ostrobothnia,1996,combined,219.9
118,Central Ostrobothnia,1996,female,225.3
119,Central Ostrobothnia,1996,male,214.3
120,Central Ostrobothnia,1997,combined,225.0
121,Central Ostrobothnia,1997,female,230.8
122,Central Ostrobothnia,1997,male,218.8
123,Central Ostrobothnia,1998,combined,229.5
124,Central Ostrobothnia,1998,female,235.5
125,Central Ostrobothnia,1998,male,223.2
126,Central Ostrobothnia,1999,combined,233.7
127,Central Ostrobothnia,1999,female,240.7
128,Central Ostrobothnia,1999,male,226.4
129,Central Ostrobothnia,2000,combined,237.7
130,Central Ostrobothnia,2000,female,245.8
131,Central Ostrobothnia,2000,male,229.3
132,Central Ostrobothnia,2001,combined,242.4
133,Central Ostrobothnia,2001,female,251.3
134,Central Ostrobothnia,2001,male,233.1
135,Central Ostrobothnia,2002,combined,247.7
136,Central Ostrobothnia,2002,female,256.1
137,Central Ostrobothnia,2002,male,239.0
138,Central Ostrobothnia,2003,combined,253.3
139,Central Ostrobothnia,2003,female,262.3
140,Central Ostrobothnia,2003,male,243.9
141,Central Ostrobothnia,2004,combined,258.9
142,Central Ostrobothnia,2004,female,269.0
143,Central Ostrobothnia,2004,male,248.4
144,Central Ostrobothnia,2005,combined,264.3
145,Central Ostrobothnia,2005,female,275.7
146,Central Ostrobothnia,2005,male,252.5
