,region,year,sex,status,percentage
0,Central Finland,1990,combined,"Employed, as % of total population",43.2
1,Central Finland,1990,combined,"Students, as % of total population",6.9
2,Central Finland,1990,female,"Employed, as % of total population",40.3
3,Central Finland,1990,female,"Students, as % of total population",7.5
4,Central Finland,1990,male,"Employed, as % of total population",46.3
5,Central Finland,1990,male,"Students, as % of total population",6.3
6,Central Finland,1991,combined,"Employed, as % of total population",40.5
7,Central Finland,1991,combined,"Students, as % of total population",7.5
8,Central Finland,1991,female,"Employed, as % of total population",38.5
9,Central Finland,1991,female,"Students, as % of total population",8.1
10,Central Finland,1991,male,"Employed, as % of total population",42.5
11,Central Finland,1991,male,"Students, as % of total population",6.9
12,Central Finland,1992,combined,"Employed, as % of total population",37.2
13,Central Finland,1992,combined,"Students, as % of total population",7.7
14,Central Finland,1992,female,"Employed, as % of total population",35.6
15,Central Finland,1992,female,"Students, as % of total population",8.2
16,Central Finland,1992,male,"Employed, as % of total population",38.8
17,Central Finland,1992,male,"Students, as % of total population",7.2
18,Central Finland,1993,combined,"Employed, as % of total population",34.2
19,Central Finland,1993,combined,"Students, as % of total population",8.6
20,Central Finland,1993,female,"Employed, as % of total population",32.7
21,Central Finland,1993,female,"Students, as % of total population",9.2
22,Central Finland,1993,male,"Employed, as % of total population",35.8
23,Central Finland,1993,male,"Students, as % of total population",8.1
24,Central Finland,1994,combined,"Employed, as % of total population",34.8
25,Central Finland,1994,combined,"Students, as % of total population",9.1
26,Central Finland,1994,female,"Employed, as % of total population",32.8
27,Central Finland,1994,female,"Students, as % of total population",9.6
28,Central Finland,1994,male,"Employed, as % of total population",36.9
29,Central Finland,1994,male,"Students, as % of total population",8.5
30,Central Finland,1995,combined,"Employed, as % of total population",34.9
31,Central Finland,1995,combined,"Students, as % of total population",9.6
32,Central Finland,1995,female,"Employed, as % of total population",32.7
33,Central Finland,1995,female,"Students, as % of total population",10.2
34,Central Finland,1995,male,"Employed, as % of total population",37.2
35,Central Finland,1995,male,"Students, as % of total population",9.0
36,Central Finland,1996,combined,"Employed, as % of total population",35.3
37,Central Finland,1996,combined,"Students, as % of total population",9.2
38,Central Finland,1996,female,"Employed, as % of total population",33.2
39,Central Finland,1996,female,"Students, as % of total population",9.6
40,Central Finland,1996,male,"Employed, as % of total population",37.5
41,Central Finland,1996,male,"Students, as % of total population",8.7
42,Central Finland,1997,combined,"Employed, as % of total population",36.4
43,Central Finland,1997,combined,"Students, as % of total population",9.3
44,Central Finland,1997,female,"Employed, as % of total population",33.8
45,Central Finland,1997,female,"Students, as % of total population",9.9
46,Central Finland,1997,male,"Employed, as % of total population",39.0
47,Central Finland,1997,male,"Students, as % of total population",8.7
48,Central Finland,1998,combined,"Employed, as % of total population",37.9
49,Central Finland,1998,combined,"Students, as % of total population",8.6
50,Central Finland,1998,female,"Employed, as % of total population",35.4
51,Central Finland,1998,female,"Students, as % of total population",9.0
52,Central Finland,1998,male,"Employed, as % of total population",40.4
53,Central Finland,1998,male,"Students, as % of total population",8.2
54,Central Finland,1999,combined,"Employed, as % of total population",38.7
55,Central Finland,1999,combined,"Students, as % of total population",8.4
56,Central Finland,1999,female,"Employed, as % of total population",36.0
57,Central Finland,1999,female,"Students, as % of total population",8.7
